Company_Name,Category,Object_id,Country,Region,Amount_Raised_USD,Stage,Funded_At
TPP Global Development,biotech,c:52084,GBR,Edinburgh,12200000,series-a,2010-07-19
Kukunu,travel,c:32424,GBR,London,400000,angel,2010-05-01
Application Craft,enterprise,c:52228,GBR,Binton,1000000,angel,2012-09-11
Oxsensis,hardware,c:52246,GBR,London,4520000,venture,2010-03-11
GaBoom,games_video,c:52250,GBR,Godalming,87468,angel,2010-02-01
Intellitect Water Holdings,cleantech,c:52307,GBR,Hants,3230000,venture,2010-01-11
Celona Technologies,software,c:42269,GBR,London,3190000,venture,2010-02-02
Zattikka,games_video,c:32225,GBR,London,5500000,series-a,2010-07-21
BigDNA,biotech,c:44247,GBR,Midlothian,2413477,venture,2008-11-03
Keynoir,ecommerce,c:44830,GBR,London,1740000,venture,2010-03-30
Rosslyn Analytics,enterprise,c:25215,GBR,London,1600000,venture,2010-01-31
Liquid Accounts,software,c:52402,GBR,Huddersfield,1150000,venture,2010-03-02
Paver Downes Associates,messaging,c:45379,GBR,Liverpool,1040000,venture,2010-01-08
MGB Biopharma,biotech,c:52459,GBR,Scotland,3030000,venture,2010-03-31
Lovestruck.com,social,c:28754,GBR,Leics,465000,series-a,2010-01-06
New Net Technologies,software,c:30125,GBR,West Yorkshire,196000,series-b,2010-02-19
WSI Onlinebiz,consulting,c:52656,GBR,Etchingham,50000,angel,2009-01-01
MadBid.com,ecommerce,c:31330,GBR,London,6161968,series-a,2010-07-23
LabMinds,software,c:52664,GBR,London,,angel,2010-07-23
m-spatial,software,c:46698,GBR,London,1750000,venture,2005-11-10
CloudMade,enterprise,c:3303,GBR,London,12381350,series-b,2010-07-27
Txt4,software,c:46503,GBR,London,430000,venture,2005-12-01
Symetrica,security,c:46522,GBR,London,420000,series-b,2005-10-19
Green Biologics,biotech,c:31740,GBR,London,6100000,series-b,2010-07-30
Notonthehighstreet,ecommerce,c:53260,GBR,London,11900000,series-c+,2010-08-02
CMP Therapeutics,biotech,c:53459,GBR,Hertfordshire,1960350,venture,2010-07-29
LoveLula,ecommerce,c:53736,GBR,Knutsford,374547,angel,2008-12-01
Publisha,web,c:53738,GBR,London,405956,angel,2009-09-01
Zinwave,mobile,c:20398,GBR,London,7640000,series-a,2005-08-03
Jade Solutions,public_relations,c:53844,GBR,Newton-le-Willows,7540000,venture,2005-04-26
SRL Global,enterprise,c:53972,GBR,Heathrow,11625112,series-a,2010-07-26
readness.com,web,c:53988,GBR,London,25000,venture,2009-08-10
Lexpertia.com,legal,c:54019,GBR,London,41004,angel,2010-03-04
Larosco,advertising,c:54089,GBR,Rosyth,219165,angel,2009-01-01
Aupix,public_relations,c:54179,GBR,Bristol,270000,venture,2005-09-02
Blink (air taxi),other,c:54302,GBR,London,30000000,series-a,2007-07-01
Vertex Pharmaceuticals,biotech,c:33777,GBR,London,120000000,post-ipo,2009-09-30
fflap,ecommerce,c:47187,GBR,Harrogate,156043,angel,2010-08-01
ClinTec International,biotech,c:54749,GBR,Glasgow,12514533,venture,2010-08-19
Konkura,web,c:54792,GBR,Daresbury,107012,angel,2009-07-01
KILTR,network_hosting,c:54853,GBR,Glasgow,131492,angel,2009-09-23
KILTR,network_hosting,c:54853,GBR,Glasgow,486761,series-a,2010-08-23
Moonfruit,design,c:26418,GBR,London,2250000,series-a,2010-08-24
Chamelic,biotech,c:55382,GBR,Leeds,1561320,venture,2010-08-16
CellTran,biotech,c:32391,GBR,Sheffield,4820000,venture,2005-08-09
Voltea,finance,c:55613,GBR,London,4564800,venture,2010-08-31
Qubrit,web,c:45880,GBR,London,50000,angel,2010-04-16
Amura,biotech,c:55678,GBR,Cambridgeshire,1840000,venture,2005-05-01
Aquapharm Biodiscovery,biotech,c:43906,GBR,United Kingdom - Other,1610000,series-b,2005-08-16
Critical Pharmaceuticals,biotech,c:44224,GBR,Nottingham,1400000,venture,2005-01-31
Diabetica,biotech,c:55694,GBR,Coleraine,1210000,series-a,2005-06-15
Phagenesis,biotech,c:55702,GBR,Pencroft Way,3080440,series-a,2010-09-01
Intense,hardware,c:55704,GBR,Edinburgh,4744950,venture,2005-04-18
OLED-T,,c:48831,GBR,Enfield,5660000,venture,2005-08-01
TSSI Systems,hardware,c:55770,GBR,Groundwell Industrial Estate,6084330,venture,2005-07-26
Smart Holograms,hardware,c:55772,GBR,Milton,6790000,venture,2005-02-01
Nujira,hardware,c:27694,GBR,United Kingdom - Other,7750000,series-a,2005-08-01
Red-M Group,mobile,c:55826,GBR,London,9620000,venture,2005-12-13
Oxford Nanopore Technologies,nanotech,c:38137,GBR,London,896000,venture,2005-05-23
Elonics,semiconductor,c:37822,GBR,Livingston,9500000,series-b,2010-09-06
CellTran,biotech,c:32391,GBR,Sheffield,470000,venture,2005-02-01
Gendel,biotech,c:55928,GBR,Coleraine,366000,venture,2005-05-25
Player X,games_video,c:43048,GBR,London,7060000,series-a,2005-10-03
Biotronics3D,software,c:56201,GBR,London,1706259,series-a,2008-01-01
Microvisk Technologies,medical,c:40957,GBR,Denbighshire,3849298,venture,2010-09-09
Adventi,consulting,c:26412,GBR,Bellshill,2090000,venture,2005-07-24
Unite Technologies,software,c:56449,GBR,Usk,1077803,venture,2010-09-09
Edenbrook Limited,consulting,c:56489,GBR,London,1890000,venture,2005-05-03
Caspian Learning,software,c:23420,GBR,United Kingdom - Other,1500000,series-b,2005-04-04
Helveta,software,c:38415,GBR,United Kingdom - Other,1110000,series-a,2005-01-11
Dataslide,,c:56503,GBR,Newhaven,500000,series-a,2005-07-25
Cull Micro Imaging,,c:56505,GBR,Birkenhead,460000,venture,2005-06-07
Cull Micro Imaging,,c:56505,GBR,Birkenhead,460000,venture,2005-06-07
Pelikon,other,c:56555,GBR,Bar Hill,9150000,series-c+,2005-09-06
ARKeX,consulting,c:20048,GBR,London,8860386,series-b,2005-12-14
ZBD Displays,,c:48962,GBR,London,4700000,venture,2005-10-01
Oxonica,cleantech,c:56897,GBR,Haddenham,14034694,venture,2005-07-05
Crowd Source Capital Ltd,finance,c:56904,GBR,London,83411,angel,2009-11-14
Eight19,semiconductor,c:57128,GBR,London,7032007,venture,2010-09-18
Q Chip,biotech,c:49721,GBR,Cardiff,3125337,venture,2010-09-18
Navmii,mobile,c:45818,GBR,London,1125000,angel,2009-08-01
SwiftKey,enterprise,c:57256,GBR,London,1254000,angel,2010-09-22
DataSift,analytics,c:57258,GBR,London,1500000,series-a,2010-01-01
Ubiquisys,mobile,c:29361,GBR,Swindon,9000000,venture,2010-07-12
Ubiquisys,mobile,c:29361,GBR,Swindon,5000000,venture,2010-09-22
MePlease,mobile,c:57312,GBR,Twickenham,2108749,series-a,2010-01-01
Eykona Technologies,biotech,c:57492,GBR,Robert Robinson Avenue,1870090,venture,2010-09-24
Masabi,mobile,c:18159,GBR,London,2000000,series-a,2010-09-28
Horizon Discovery,biotech,c:24355,GBR,London,9800000,series-c+,2010-09-28
Brainient,advertising,c:32874,GBR,London,800000,angel,2010-08-01
EngageSciences,software,c:56312,GBR,London,3880803,series-a,2012-07-23
PrismaStar,search,c:57828,GBR,London,3169567,series-a,2010-09-27
Frontier Silicon,semiconductor,c:9677,GBR,Watford,28000000,venture,2005-02-28
picoChip,software,c:20156,GBR,Bath,20500000,series-c+,2005-06-22
eSellerPro,software,c:57607,GBR,Worcestershire,3174138,venture,2010-09-30
Elixent,,c:57896,GBR,Bristol,15000000,series-c+,2005-04-06
Intelligent Energy,cleantech,c:28298,GBR,Loughborough,21000000,venture,2005-07-14
Aepona,network_hosting,c:43050,GBR,Belfast,20000000,series-b,2005-03-04
Followap,software,c:58020,GBR,London,16000000,series-c+,2005-02-22
Charity Engine,nonprofit,c:58078,GBR,Manchester,325999,angel,2011-07-29
Global Silicon,semiconductor,c:58119,GBR,London,10000000,series-b,2005-09-08
Azure Solutions,software,c:58118,GBR,London,15000000,venture,2005-06-16
OpenGamma,software,c:58255,GBR,London,2150000,series-a,2009-08-01
Celltick Technologies,software,c:43166,GBR,London,11000000,series-c+,2005-03-07
StormMQ,enterprise,c:58260,GBR,Skipton,149167,angel,2010-03-01
Nanotech Semiconductor,semiconductor,c:28033,GBR,Bristol,6000000,series-b,2005-05-25
SiConnect,semiconductor,c:48966,GBR,Wiltshire,4900000,series-a,2005-05-05
Kromek,,c:58341,GBR,County Durham,1800000,series-a,2005-09-21
FreeAgent,software,c:2465,GBR,Edinburgh,,angel,2009-09-10
FreeAgent,software,c:2465,GBR,Edinburgh,,series-a,2010-03-18
Trema Group,software,c:58350,GBR,London,10510000,venture,2005-03-03
Psonar,music,c:41142,GBR,London,126565,angel,2010-10-01
myFairPartner,other,c:58362,GBR,London,620969,angel,2009-01-01
PneumaCare,biotech,c:54688,GBR,London,,angel,2009-02-01
PneumaCare,biotech,c:54688,GBR,London,,venture,2009-08-01
PneumaCare,biotech,c:54688,GBR,London,,angel,2009-09-01
PneumaCare,biotech,c:54688,GBR,London,78636,other,2009-06-01
PneumaCare,biotech,c:54688,GBR,London,71370,other,2009-02-01
PneumaCare,biotech,c:54688,GBR,London,372918,other,2010-03-01
PneumaCare,biotech,c:54688,GBR,London,156043,angel,2010-08-01
IS Pharma,biotech,c:58439,GBR,Chester,5700000,venture,2010-10-07
Convergence Pharmaceuticals,biotech,c:58446,GBR,London,35400000,series-a,2010-10-05
MedicAnimal.com,pets,c:58461,GBR,London,7910327,series-a,2010-10-01
KidStart,web,c:58610,GBR,London,4209381,series-a,2007-10-14
AlertMe,cleantech,c:7712,GBR,London,23781282,series-b,2010-10-08
Glythera,biotech,c:58631,GBR,London,792709,venture,2010-10-09
TenBu Technologies,hardware,c:58664,GBR,Edinburgh,843351,angel,2007-01-01
Light Blue Optics,hardware,c:28299,GBR,London,13000000,series-a,2010-10-11
AlphaSights,consulting,c:189847,GBR,London,,venture,2008-01-01
Veebeam,hardware,c:58788,GBR,London,6000000,series-b,2010-10-12
Michelson Diagnostics,biotech,c:39282,GBR,Orpington,2692760,series-a,2010-10-13
Njini,software,c:45523,GBR,London,5000000,series-b,2005-12-06
Whistle.co.uk,government,c:58943,GBR,London,1200000,angel,2010-04-01
Udex,,c:59010,GBR,Newport,5000000,venture,2005-03-22
Perfect Storm Media,search,c:48875,GBR,London,,series-a,2010-02-01
iovox,,c:58981,GBR,London,584441,angel,2009-01-01
i2O Water,cleantech,c:59118,GBR,London,6954965,series-c+,2009-11-01
Level Four Software,software,c:46283,GBR,Dunfermline,3000000,venture,2005-07-14
Mtivity,software,c:19006,GBR,London,2600000,series-b,2005-07-08
frooly,ecommerce,c:59276,GBR,Sheffield,1308754,angel,2010-06-09
Lost Property Heaven,web,c:59286,GBR,London,405529,angel,2010-01-01
Tribold,software,c:24639,GBR,London,2120000,venture,2005-07-01
i-design Multimedia,software,c:59533,GBR,Newport-on-Tay,1770000,series-b,2005-12-12
DEM Solutions,software,c:45184,GBR,Edinburgh,1770000,venture,2005-07-01
Raft International,,c:59535,GBR,London,1760000,venture,2005-08-25
Celona Technologies,software,c:42269,GBR,London,1700000,venture,2005-08-01
Integrated International Payroll,,c:59549,GBR,Cheltenham,1300000,venture,2005-07-29
Rapid Mobile,,c:37649,GBR,Edinburgh,1120000,series-a,2005-12-01
Water Innovate,,c:59576,GBR,Bedfordshire,1020000,venture,2005-06-01
UltraSoC Technologies,hardware,c:59626,GBR,London,3140764,series-a,2010-10-22
Covelus,network_hosting,c:59655,GBR,Liverpool,789000,venture,2005-12-20
Crunch Accounting,web,c:44970,GBR,Hove,801922,series-b,2010-10-14
Refund Exchange,,c:59787,GBR,Rotherham,177000,venture,2005-12-14
UltraSoC Technologies,hardware,c:59626,GBR,London,570964,angel,2009-02-01
Bluebell Telecom,network_hosting,c:12699,GBR,Newcastle,6124490,venture,2010-10-22
Compact Media Group,games_video,c:59929,GBR,London,26696495,venture,2010-10-22
Bouf,ecommerce,c:59993,GBR,London,275759,angel,2010-01-01
Yospace Technologies,mobile,c:60037,GBR,London,932783,venture,2010-09-15
nanoTherics,biotech,c:23608,GBR,Stoke-on-Trent,1742190,venture,2010-09-28
Splendor Telecom UK,messaging,c:60395,GBR,London,,venture,2010-10-28
Ideagen,software,c:53011,GBR,TBD,1150000,venture,2005-05-18
Monitise,mobile,c:17661,GBR,London,48958355,venture,2010-07-13
Silver Lining Solutions,software,c:23705,GBR,Rugby,1160000,venture,2010-08-11
Acuitas Medical,medical,c:60477,GBR,Wales,1067276,venture,2010-07-22
Yospace Enterprises,mobile,c:60479,GBR,London,932783,venture,2010-09-15
Ateeda,semiconductor,c:60482,GBR,Edinburgh,750566,venture,2010-06-30
Kymab,biotech,c:60507,GBR,London,30400000,series-a,2010-07-12
Handmade Mobile Entertainment,social,c:42869,GBR,London,9000000,series-c+,2010-07-14
Marcandi,ecommerce,c:60540,GBR,London,6190000,series-a,2010-07-26
Connexica,software,c:60549,GBR,Stafford,394842,venture,2010-09-29
GeoVS,software,c:60550,GBR,Cardiff,378901,venture,2010-07-20
Wordy,messaging,c:33100,GBR,London,64000,angel,2010-09-01
Symbian Foundation,mobile,c:7140,GBR,London,30839600,venture,2010-11-02
E-Trader Group,ecommerce,c:60718,GBR,London,,series-b,2010-07-01
Executive Channel,news,c:60900,GBR,London,,venture,2010-09-01
nothingGrinder,other,c:38109,GBR,United Kingdom - Other,,angel,2008-09-01
nothingGrinder,other,c:38109,GBR,United Kingdom - Other,,angel,2010-11-01
Orthos,biotech,c:61045,GBR,Abbots Leigh,1327462,venture,2010-08-05
Ommven,ecommerce,c:61063,GBR,London,120000,angel,2010-09-01
60mo,software,c:58527,GBR,Edinburgh,200000,angel,2009-06-29
60mo,software,c:58527,GBR,Edinburgh,100000,angel,2009-06-29
CardShark Poker Products,games_video,c:61207,GBR,Loughborough,,angel,2010-11-09
SenseLogix,enterprise,c:61210,GBR,Saint Asaph,1617093,series-a,2010-11-09
Xeros,cleantech,c:61222,GBR,South Yorkshire,5646169,venture,2010-11-08
Augmentra,mobile,c:61236,GBR,London,500000,angel,2009-07-01
Augmentra,mobile,c:61236,GBR,London,500000,angel,2010-07-01
Turbulenz,games_video,c:61288,GBR,London,5000000,venture,2010-11-10
AppShare,enterprise,c:61310,GBR,Glasgow,,venture,2010-07-26
